n,ijk,ikj,kij,kji,jki,jik
422,59.52,23.57,24.23,126.06,124.51,0.41
423,63.61,23.86,23.21,146.94,135.99,0.41
424,64.22,26.64,22.86,140.91,129.35,0.39
425,60.47,24.01,22.52,134.63,124.62,0.39
426,59.54,24.99,24.20,156.42,142.87,0.46
427,80.02,31.09,31.24,169.91,140.79,0.73
428,69.41,27.18,25.55,153.19,132.89,0.40
429,61.91,24.25,23.09,139.15,130.45,0.45
430,101.32,28.35,24.79,166.43,145.83,0.50
431,82.69,21.47,20.93,150.96,204.10,0.61
432,73.54,26.84,26.33,149.04,127.96,0.42
433,65.16,21.89,24.30,147.37,155.31,0.56
434,79.95,31.78,31.49,174.08,166.22,0.52
435,80.40,29.41,28.61,166.80,148.30,0.57
436,71.34,31.10,27.91,159.41,139.32,0.47
437,67.40,27.71,24.50,149.17,141.48,0.43
438,68.99,27.70,27.31,152.58,135.60,0.40
439,62.43,24.97,23.48,136.11,128.71,0.39
440,62.90,25.20,24.47,148.22,142.44,0.48
441,73.39,27.61,31.45,159.66,127.39,0.34
442,61.32,24.80,23.78,139.25,128.00,0.39
443,59.16,23.12,23.26,137.34,126.38,0.39
444,61.43,25.57,24.49,154.14,147.23,0.43
445,72.77,28.17,30.05,163.49,135.50,0.42
446,97.49,27.76,25.41,193.19,229.97,0.64
447,109.00,27.65,28.38,204.10,224.04,0.74
448,88.02,33.05,34.68,208.30,151.97,0.43
449,73.89,26.16,28.67,163.78,142.78,0.42
450,69.35,25.07,26.52,163.64,166.43,0.66
451,80.60,28.22,29.91,161.98,138.72,0.42
452,69.54,25.67,26.61,156.48,145.78,0.45
453,75.52,24.46,29.52,174.58,167.33,0.48
454,76.20,30.89,44.63,220.43,173.08,0.50
455,83.14,29.56,33.30,192.61,165.46,0.47
456,78.98,32.51,30.76,178.53,153.06,0.48
457,72.35,23.73,29.17,162.97,138.63,0.40
458,78.63,35.94,38.84,208.62,167.43,0.58
459,80.71,28.86,30.49,167.65,142.94,0.50
460,73.26,31.43,34.11,199.09,165.27,0.52
461,80.17,31.19,31.88,230.45,182.30,0.50
462,134.52,39.74,35.59,241.36,208.05,0.85
463,132.25,30.73,33.28,211.31,190.33,0.66
464,76.42,29.83,29.93,181.74,162.58,0.52
465,85.42,28.54,33.25,187.56,157.43,0.44
466,80.69,36.22,47.02,249.06,191.42,0.52
467,86.60,34.03,34.98,191.22,163.96,0.51
468,80.82,32.98,32.09,184.67,156.27,0.43
469,75.82,30.06,30.32,171.81,148.85,0.40
470,73.81,33.15,31.92,174.25,163.13,0.51
471,79.27,33.21,34.70,196.31,178.55,0.52
472,85.18,31.95,33.85,206.13,181.61,0.62
473,88.36,33.85,33.62,196.65,160.22,0.47
474,88.64,36.00,36.45,199.39,182.38,0.56
475,89.95,38.87,38.68,202.16,273.00,0.82
476,163.10,61.97,65.76,406.27,298.55,0.70
477,119.94,40.13,45.41,333.31,297.14,0.82
478,199.41,57.90,62.73,417.42,284.28,0.78
479,123.64,29.79,33.30,248.35,233.77,0.65
480,80.18,31.26,31.40,188.03,159.92,0.72
481,79.74,34.39,32.08,188.83,170.47,0.52
482,91.55,34.16,33.56,188.11,165.19,0.51
483,75.16,32.18,31.43,165.83,182.83,0.54
484,89.26,36.44,35.05,199.57,164.36,0.48
485,79.48,31.30,32.51,193.96,175.07,0.47
486,82.50,31.83,31.90,187.95,179.44,0.51
487,81.50,33.21,32.10,181.56,171.86,0.49
488,88.04,32.11,33.94,198.47,169.54,0.50
489,82.33,31.88,32.66,191.57,170.47,0.47
490,84.44,38.35,37.17,204.11,172.39,0.47
491,80.75,33.46,32.55,189.72,172.06,0.49
492,82.26,32.09,37.71,213.05,172.43,0.46
493,83.65,30.17,32.69,198.30,180.09,0.53
494,137.86,38.32,38.47,262.52,234.18,0.73
495,143.83,42.65,36.20,259.31,255.01,0.76
496,96.89,37.30,38.49,275.88,232.28,0.65
497,106.89,40.23,44.58,286.20,311.89,0.90
498,140.33,50.16,50.71,262.29,208.75,0.57
499,95.61,34.69,38.93,248.70,197.32,0.54
500,94.04,35.00,38.82,237.54,194.55,0.51
